,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
128,Iqaluit,CA,63.7506,-68.5145,-4.27,76,75,0.0,light snow
129,San-Pedro,CI,4.7485,-6.6363,85.64,60,23,10.92,few clouds
130,Tamandare,BR,-8.7597,-35.1047,85.12,62,53,11.14,broken clouds
131,Teguldet,RU,57.3064,88.1667,4.17,96,100,4.9,overcast clouds
132,Ribeira Brava,PT,32.65,-17.0667,67.71,64,15,10.38,few clouds
133,The Valley,AI,18.217,-63.0578,82.26,65,40,14.97,scattered clouds
134,Padang,ID,-0.9492,100.3543,78.35,86,94,3.6,overcast clouds
135,Sur,OM,22.5667,59.5289,71.47,54,0,4.21,clear sky
136,Mbumi,TZ,-7.9058,39.2105,78.78,80,95,4.97,overcast clouds
137,Hervey Bay,AU,-25.2986,152.8535,69.91,73,29,12.59,scattered clouds
138,Zhicheng,CN,30.2956,111.5047,32.67,95,72,1.63,broken clouds
139,Port Lincoln,AU,-34.7333,135.8667,65.71,85,15,15.82,few clouds
140,Borogontsy,RU,62.6683,131.1683,-34.02,100,100,2.21,overcast clouds
141,Kaitangata,NZ,-46.2817,169.8464,48.24,95,50,4.32,scattered clouds
142,San Patricio,US,28.017,-97.5169,48.88,73,100,18.88,light rain
143,Mehamn,NO,71.0357,27.8492,31.91,62,100,6.06,overcast clouds
144,Provideniya,RU,64.3833,-173.3,-1.91,98,28,2.35,scattered clouds
145,Wheatley,GB,51.7473,-1.1394,48.9,82,75,1.01,broken clouds
146,Riachao Das Neves,BR,-11.7461,-44.91,81.63,65,14,5.26,few clouds
147,Kizhinga,RU,51.8462,109.9097,-17.73,100,48,1.48,scattered clouds
148,Saskylakh,RU,71.9167,114.0833,0.57,88,100,6.93,overcast clouds
149,Funtua,NG,11.5233,7.3081,81.61,14,50,16.26,scattered clouds
150,Port Elizabeth,ZA,-33.918,25.5701,75.09,68,75,18.41,broken clouds
151,Emerald,AU,-23.5333,148.1667,77.14,65,22,11.5,few clouds
152,Beloha,MG,-25.1667,45.05,75.52,69,0,16.42,clear sky
153,Banjar,ID,-8.19,114.9675,80.46,90,100,3.65,light rain
154,Saint George,US,37.1041,-113.5841,41.47,54,0,0.0,clear sky
155,Marigot,MF,18.0667,-63.0833,82.18,61,20,14.97,few clouds
156,Ponta Do Sol,PT,32.6667,-17.1,67.71,63,21,9.84,few clouds
157,Kutum,SD,14.2,24.6667,65.82,13,19,11.99,few clouds
158,Genc,TR,38.7507,40.5603,23.72,97,70,2.1,light snow
159,Bengkulu,ID,-3.8004,102.2655,77.23,84,86,4.09,overcast clouds
160,Tiksi,RU,71.6872,128.8694,-3.8,97,100,7.72,overcast clouds
161,Kang,BW,-23.6752,22.7876,80.29,51,72,7.23,light rain
162,Bushehr,IR,28.9684,50.8385,59.09,44,67,18.41,dust
163,Hasaki,JP,35.7333,140.8333,32.4,50,99,10.85,overcast clouds
164,Tukrah,LY,32.5341,20.5791,56.01,68,17,11.16,few clouds
165,Benalla,AU,-36.55,145.9833,73.58,91,100,5.68,overcast clouds
166,Luderitz,NA,-26.6481,15.1594,74.86,54,0,33.87,clear sky
167,Ormara,PK,25.2088,64.6357,70.18,55,0,9.53,clear sky
168,Dalbandin,PK,28.8947,64.4101,62.64,25,3,2.44,clear sky
169,Rio Grande,BR,-32.035,-52.0986,77.11,46,49,11.92,scattered clouds
170,Palmar,CR,9.8728,-84.4553,87.76,35,44,3.74,scattered clouds
171,Flin Flon,CA,54.7682,-101.865,-14.96,70,100,2.3,overcast clouds
172,Nkhata Bay,MW,-11.6066,34.2907,74.62,85,100,3.02,light rain
173,Bilibino,RU,68.0546,166.4372,-9.38,97,65,4.59,broken clouds
174,Aripuana,BR,-9.1667,-60.6333,82.06,77,92,4.12,overcast clouds
175,Baykit,RU,61.67,96.37,-15.21,100,100,1.3,overcast clouds
176,Xai-Xai,MZ,-25.0519,33.6442,81.01,73,6,13.47,clear sky
177,Beihai,CN,21.4833,109.1,67.68,85,21,8.32,few clouds
178,Lompoc,US,34.6391,-120.4579,57.13,73,0,9.22,clear sky
179,Tazovskiy,RU,67.4667,78.7,2.66,96,99,9.95,overcast clouds
180,Matara,LK,5.9485,80.5353,76.75,82,64,1.45,broken clouds
181,Carnarvon,AU,-24.8667,113.6333,75.27,83,0,5.75,clear sky
182,Kruisfontein,ZA,-34.0033,24.7314,72.88,65,31,16.82,scattered clouds
183,Kijang,KR,35.2442,129.2139,35.33,28,100,5.84,overcast clouds
184,Karakol,KG,42.4907,78.3936,14.54,63,100,4.97,overcast clouds
185,Varzea Da Palma,BR,-17.5981,-44.7308,86.79,48,100,6.2,light rain
186,Georgetown,MY,5.4112,100.3354,83.95,81,20,2.3,few clouds
187,Wajid,SO,3.8093,43.2471,87.67,19,84,11.41,broken clouds
188,New Norfolk,AU,-42.7826,147.0587,63.75,71,99,1.48,overcast clouds
189,Aksarka,RU,66.5606,67.7975,-16.67,99,60,5.93,broken clouds
190,Moree,AU,-29.4667,149.85,75.22,64,75,12.66,broken clouds
191,Castanos,MX,26.7833,-101.4167,42.39,97,100,6.91,light intensity drizzle
192,Birao,CF,10.2849,22.7882,83.89,12,89,8.43,overcast clouds
193,Conde,BR,-7.2597,-34.9075,85.46,62,40,5.75,scattered clouds
194,Necochea,AR,-38.5473,-58.7368,81.03,39,0,2.57,clear sky
195,Najran,SA,17.4924,44.1277,70.45,16,0,9.57,clear sky
196,Chesma,RU,53.8111,60.6533,4.8,100,100,2.55,overcast clouds
197,Verin,ES,41.9415,-7.4381,62.28,24,0,4.79,clear sky
198,Andenes,NO,69.3143,16.1194,28.38,50,20,13.8,few clouds
199,Tasiilaq,GL,65.6145,-37.6368,17.76,62,1,6.62,clear sky
200,Narsaq,GL,60.9167,-46.05,10.62,66,82,8.48,broken clouds
201,Smithers,CA,54.7804,-127.1743,19.72,79,75,4.61,broken clouds
202,Bathsheba,BB,13.2167,-59.5167,74.01,78,75,12.66,broken clouds
